"Units","scenario","region","year","value"
"thous","Reference","Africa_Eastern",2100,681323
"thous","Reference","Africa_Northern",2100,237829
"thous","Reference","Africa_Southern",2100,400909
"thous","Reference","Africa_Western",2100,1309180
"thous","Reference","Argentina",2100,47716
"thous","Reference","Australia_NZ",2100,48725
"thous","Reference","Brazil",2100,189641
"thous","Reference","Canada",2100,54679
"thous","Reference","Central America and Caribbean",2100,99983
"thous","Reference","Central Asia",2100,86771
"thous","Reference","China",2100,800756
"thous","Reference","Colombia",2100,59180
"thous","Reference","EU-12",2100,71775
"thous","Reference","EU-15",2100,430661
"thous","Reference","Europe_Eastern",2100,41002
"thous","Reference","Europe_Non_EU",2100,108150
"thous","Reference","European Free Trade Association",2100,18847
"thous","Reference","India",2100,1605660
"thous","Reference","Indonesia",2100,233841
"thous","Reference","Japan",2100,76059
"thous","Reference","Mexico",2100,145314
"thous","Reference","Middle East",2100,422123
"thous","Reference","Pakistan",2100,342540
"thous","Reference","Russia",2100,124611
"thous","Reference","South Africa",2100,61707
"thous","Reference","South America_Northern",2100,40070
"thous","Reference","South America_Southern",2100,93650
"thous","Reference","South Asia",2100,340319
"thous","Reference","South Korea",2100,31222
"thous","Reference","Southeast Asia",2100,444858
"thous","Reference","Taiwan",2100,23557
"thous","Reference","USA",2100,457531
